"@timestamp",service,message,level,logger,traceId
"Aug 8, 2026 @ 22:44:50.186",unknown,"10.244.0.1 - - [08/Aug/2026:13:44:50 +0000] ""POST /api/carts/me HTTP/1.1"" 200 0 ""http://192.168.160.100:30000/orders"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:44:50.184","bff-service","method=POST uri=/api/carts/me status=200 durationMs=947",INFO,"bff.config.AccessLogFilter","7c748ffa-690e-461a-b5df-01d143fe2599"
"Aug 8, 2026 @ 22:44:49.317",unknown,"10.244.0.1 - - [08/Aug/2026:13:44:49 +0000] ""POST /api/users/me/orders HTTP/1.1"" 200 980 ""http://192.168.160.100:30000/orders"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:44:49.315","bff-service","method=POST uri=/api/users/me/orders status=200 durationMs=75",INFO,"bff.config.AccessLogFilter","44120bdd-e271-4711-9ee7-0bc21351e931"
"Aug 8, 2026 @ 22:44:49.219",unknown,"10.244.0.1 - - [08/Aug/2026:13:44:49 +0000] ""PUT /api/carts/checkout HTTP/1.1"" 200 273 ""http://192.168.160.100:30000/cart"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:44:49.218","bff-service","method=PUT uri=/api/carts/checkout status=200 durationMs=999",INFO,"bff.config.AccessLogFilter","8b546a2b-c464-4416-b16b-9a09bf4c8acc"
"Aug 8, 2026 @ 22:44:49.089","bff-service","[CB] createNotification skipped ({}): {} CallNotPermittedException CircuitBreaker 'notification' is OPEN and does not permit further calls",WARN,"bff.client.NotificationClient","8b546a2b-c464-4416-b16b-9a09bf4c8acc"
"Aug 8, 2026 @ 22:44:47.073",unknown,"10.244.0.1 - - [08/Aug/2026:13:44:47 +0000] ""GET / HTTP/1.1"" 200 460 ""-"" ""kube-probe/1.35"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:44:46.461",unknown,"10.244.0.1 - - [08/Aug/2026:13:44:46 +0000] ""GET / HTTP/1.1"" 200 460 ""-"" ""kube-probe/1.35"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:44:45.886",unknown,"10.244.0.1 - - [08/Aug/2026:13:44:45 +0000] ""POST /api/stores/products/list HTTP/1.1"" 200 567 ""http://192.168.160.100:30000/cart"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:44:45.884","bff-service","method=POST uri=/api/stores/products/list status=200 durationMs=48",INFO,"bff.config.AccessLogFilter","e9990cef-03c2-4916-b763-db93da893aef"
"Aug 8, 2026 @ 22:44:45.828",unknown,"10.244.0.1 - - [08/Aug/2026:13:44:45 +0000] ""POST /api/carts/me HTTP/1.1"" 200 243 ""http://192.168.160.100:30000/cart"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:44:45.826","bff-service","method=POST uri=/api/carts/me status=200 durationMs=68",INFO,"bff.config.AccessLogFilter","158f2d4f-8147-4258-b25c-be66f808dc05"
"Aug 8, 2026 @ 22:44:43.877",unknown,"10.244.0.1 - - [08/Aug/2026:13:44:43 +0000] ""POST /api/carts HTTP/1.1"" 200 243 ""http://192.168.160.100:30000/stores/1"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:44:43.875","bff-service","method=POST uri=/api/carts status=200 durationMs=105",INFO,"bff.config.AccessLogFilter","86f35d73-d49f-47a7-aabe-cfaf4d4ec62f"
"Aug 8, 2026 @ 22:44:43.763","bff-service","method=GET uri=/actuator/health/readiness status=200 durationMs=52",INFO,"bff.config.AccessLogFilter","c38a8f3f-c65f-485c-a355-fa1eb024ff64"
"Aug 8, 2026 @ 22:44:43.546","bff-service","method=GET uri=/actuator/health/liveness status=200 durationMs=14",INFO,"bff.config.AccessLogFilter","5a4728c8-0cfe-42c6-83bb-faa679055f29"
"Aug 8, 2026 @ 22:44:42.955",unknown,"10.244.0.1 - - [08/Aug/2026:13:44:42 +0000] ""POST /api/carts HTTP/1.1"" 200 243 ""http://192.168.160.100:30000/stores/1"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:44:42.954","bff-service","method=POST uri=/api/carts status=200 durationMs=224",INFO,"bff.config.AccessLogFilter","bc1533d4-c5c0-49eb-88b6-8ef704608a45"
"Aug 8, 2026 @ 22:44:42.316","bff-service","method=GET uri=/actuator/prometheus status=200 durationMs=56",INFO,"bff.config.AccessLogFilter","006eed8c-cdb5-423b-aabc-17f66e5bc402"
"Aug 8, 2026 @ 22:44:41.190","bff-service","method=POST uri=/api/carts status=200 durationMs=269",INFO,"bff.config.AccessLogFilter","b8fac0f0-0e9f-4cf2-b778-802fdd3c6dbf"
